order_item_id,order_id,product_id,quantity,unit_price,line_total
ORD0031-12,ORD0031,P495,1,5.07,5.07
ORD0031-13,ORD0031,P4491,1,9.15,9.15
ORD0031-14,ORD0031,P2762,1,7.46,7.46
ORD0031-15,ORD0031,P4970,1,6.36,6.36
ORD0031-16,ORD0031,P2016,1,14.21,14.21
ORD0031-17,ORD0031,P085,2,3.86,7.72
ORD0031-18,ORD0031,P1525,3,1.60,4.80
ORD0031-19,ORD0031,P3775,1,8.66,8.66
ORD0031-20,ORD0031,P884,6,3.44,20.64
ORD0032-1,ORD0032,P538,2,2.62,5.24
ORD0032-2,ORD0032,P4957,1,7.72,7.72
ORD0032-3,ORD0032,P4699,1,5.30,5.30
ORD0032-4,ORD0032,P2796,1,2.78,2.78
ORD0032-5,ORD0032,P1946,1,7.08,7.08
ORD0032-6,ORD0032,P739,1,5.55,5.55
ORD0032-7,ORD0032,P3171,1,5.00,5.00
ORD0033-1,ORD0033,P2967,1,5.15,5.15
ORD0033-2,ORD0033,P3936,1,12.91,12.91
ORD0033-3,ORD0033,P852,4,3.57,14.28
ORD0033-4,ORD0033,P1004,2,4.76,9.52
ORD0033-5,ORD0033,P1063,3,2.69,8.07
ORD0033-6,ORD0033,P4228,1,5.20,5.20
ORD0033-7,ORD0033,P4924,1,5.12,5.12
ORD0033-8,ORD0033,P432,2,0.98,1.96
ORD0033-9,ORD0033,P3480,2,1.99,3.98
ORD0033-10,ORD0033,P1785,2,4.01,8.02
ORD0033-11,ORD0033,P2317,1,6.63,6.63
ORD0033-12,ORD0033,P3099,2,2.95,5.90
ORD0034-1,ORD0034,P3860,1,7.40,7.40
ORD0034-2,ORD0034,P2687,1,7.69,7.69
ORD0034-3,ORD0034,P4431,2,1.09,2.18
ORD0034-4,ORD0034,P2529,1,6.64,6.64
ORD0034-5,ORD0034,P3711,1,13.97,13.97
ORD0034-6,ORD0034,P1286,1,3.93,3.93
ORD0034-7,ORD0034,P1474,1,5.81,5.81
ORD0034-8,ORD0034,P729,6,0.53,3.18
ORD0034-9,ORD0034,P3512,1,5.57,5.57
ORD0034-10,ORD0034,P2407,1,19.44,19.44
ORD0034-11,ORD0034,P1960,1,6.36,6.36
ORD0034-12,ORD0034,P4772,1,13.72,13.72
ORD0034-13,ORD0034,P4962,3,2.48,7.44
ORD0034-14,ORD0034,P1532,2,1.93,3.86
ORD0034-15,ORD0034,P4832,1,8.81,8.81
ORD0034-16,ORD0034,P3690,1,4.53,4.53
ORD0034-17,ORD0034,P1496,1,4.74,4.74
ORD0034-18,ORD0034,P067,1,5.95,5.95
ORD0034-19,ORD0034,P2282,1,12.72,12.72
ORD0034-20,ORD0034,P1533,3,2.82,8.46
ORD0034-21,ORD0034,P4004,1,6.22,6.22
ORD0034-22,ORD0034,P3265,1,11.01,11.01
ORD0035-1,ORD0035,P005,1,2.99,2.99
ORD0035-2,ORD0035,P1552,1,4.18,4.18
ORD0035-3,ORD0035,P169,3,2.10,6.30
ORD0035-4,ORD0035,P4711,2,11.47,22.94
ORD0036-1,ORD0036,P1687,3,4.79,14.37
ORD0036-2,ORD0036,P2419,1,13.56,13.56
ORD0036-3,ORD0036,P2695,1,6.02,6.02
ORD0036-4,ORD0036,P4313,2,1.43,2.86
ORD0037-1,ORD0037,P3513,2,4.25,8.50
ORD0037-2,ORD0037,P1102,3,0.51,1.53
ORD0037-3,ORD0037,P3974,2,1.22,2.44
ORD0037-4,ORD0037,P1732,2,5.49,10.98
ORD0037-5,ORD0037,P4242,1,1.76,1.76
ORD0037-6,ORD0037,P1326,3,2.32,6.96
ORD0037-7,ORD0037,P3017,1,10.68,10.68
ORD0037-8,ORD0037,P1519,1,1.83,1.83
ORD0037-9,ORD0037,P4066,1,2.35,2.35
ORD0037-10,ORD0037,P2527,2,5.52,11.04
ORD0037-11,ORD0037,P1379,2,2.91,5.82
ORD0038-1,ORD0038,P4781,1,4.69,4.69
ORD0038-2,ORD0038,P3056,1,7.75,7.75
ORD0038-3,ORD0038,P2737,1,2.32,2.32
ORD0038-4,ORD0038,P3267,1,8.68,8.68
ORD0038-5,ORD0038,P1659,1,5.98,5.98
ORD0038-6,ORD0038,P3373,1,4.87,4.87
ORD0038-7,ORD0038,P1645,3,5.39,16.17
ORD0038-8,ORD0038,P4153,1,6.94,6.94
ORD0038-9,ORD0038,P4533,2,4.09,8.18
ORD0038-10,ORD0038,P2661,1,4.37,4.37
ORD0038-11,ORD0038,P4666,1,10.99,10.99
ORD0038-12,ORD0038,P1955,1,6.58,6.58
ORD0038-13,ORD0038,P071,1,2.06,2.06
ORD0039-1,ORD0039,P4398,2,1.56,3.12
ORD0039-2,ORD0039,P4732,1,7.98,7.98
ORD0039-3,ORD0039,P4864,1,7.47,7.47
ORD0039-4,ORD0039,P4122,2,1.17,2.34
ORD0039-5,ORD0039,P140,1,5.98,5.98
ORD0039-6,ORD0039,P1314,1,5.34,5.34
ORD0039-7,ORD0039,P2387,1,9.07,9.07
ORD0039-8,ORD0039,P4448,1,4.57,4.57
ORD0039-9,ORD0039,P3304,1,5.26,5.26
ORD0039-10,ORD0039,P1746,1,7.42,7.42
ORD0039-11,ORD0039,P4439,1,3.34,3.34
ORD0039-12,ORD0039,P2158,1,7.61,7.61
ORD0039-13,ORD0039,P1614,1,6.39,6.39
ORD0039-14,ORD0039,P1891,1,3.40,3.40
ORD0039-15,ORD0039,P1879,1,3.32,3.32
ORD0039-16,ORD0039,P304,2,3.02,6.04
ORD0040-1,ORD0040,P3383,1,5.89,5.89
ORD0040-2,ORD0040,P1698,1,3.13,3.13
ORD0040-3,ORD0040,P4780,1,5.61,5.61
ORD0040-4,ORD0040,P2969,1,2.01,2.01
ORD0040-5,ORD0040,P1954,1,7.13,7.13
ORD0040-6,ORD0040,P2582,1,5.44,5.44
ORD0040-7,ORD0040,P3717,1,4.28,4.28
ORD0040-8,ORD0040,P4214,1,5.39,5.39
ORD0040-9,ORD0040,P1777,1,2.22,2.22
ORD0040-10,ORD0040,P3792,1,11.81,11.81
ORD0040-11,ORD0040,P451,4,0.82,3.28
ORD0040-12,ORD0040,P880,3,3.64,10.92
ORD0040-13,ORD0040,P3286,2,2.19,4.38
ORD0040-14,ORD0040,P3187,1,4.65,4.65
ORD0040-15,ORD0040,P2476,1,12.91,12.91
ORD0041-1,ORD0041,P1529,1,7.36,7.36
ORD0041-2,ORD0041,P1616,1,5.94,5.94
ORD0041-3,ORD0041,P1076,1,5.28,5.28
ORD0041-4,ORD0041,P1999,1,7.05,7.05
ORD0041-5,ORD0041,P1829,1,4.42,4.42
ORD0041-6,ORD0041,P4816,1,9.27,9.27
ORD0041-7,ORD0041,P303,2,1.97,3.94
ORD0041-8,ORD0041,P3861,1,3.43,3.43
ORD0041-9,ORD0041,P961,3,1.11,3.33
ORD0041-10,ORD0041,P3546,1,4.29,4.29
ORD0041-11,ORD0041,P4991,1,9.11,9.11
ORD0041-12,ORD0041,P3145,1,5.80,5.80
ORD0041-13,ORD0041,P2322,1,6.37,6.37
ORD0041-14,ORD0041,P4062,1,7.68,7.68
ORD0041-15,ORD0041,P868,2,2.54,5.08
ORD0042-1,ORD0042,P3015,1,6.18,6.18
ORD0042-2,ORD0042,P4056,1,3.45,3.45
ORD0042-3,ORD0042,P4290,1,4.20,4.20
ORD0042-4,ORD0042,P944,5,1.87,9.35
ORD0042-5,ORD0042,P2624,3,2.72,8.16
ORD0042-6,ORD0042,P820,2,3.37,6.74
ORD0042-7,ORD0042,P2583,3,4.51,13.53
